district_name,rep_incumbent,dem_incumbent,obama_2012_margin,dem_2014_margin,hillary_2016_margin,dem_2016_margin,elasticity,rep_running,dem_running,dinc14,rinc14,dinc16,rinc16
FL-16,1,0,-0.0666,-0.0864,-0.0664,-0.1033,1.05,TRUE,TRUE,0,1,0,1
FL-17,0,0,-0.1039,-0.1029,-0.151,-0.1492,1.1,TRUE,TRUE,0,1,0,1
FL-18,1,0,-0.0403,0.1273,-0.0583,-0.0601,0.96,TRUE,TRUE,1,0,0,0
FL-19,1,0,-0.1293,-0.134,-0.1249,-0.1646,0.97,TRUE,TRUE,0,1,0,0
FL-20,0,1,0.3097,0.3455,0.3048,0.2975,1.04,FALSE,TRUE,1,0,1,0
FL-21,0,1,0.0894,N/A,0.0887,0.1352,1.06,FALSE,TRUE,1,0,1,0
FL-22,0,1,0.0473,0.1098,0.0697,0.2665,1.02,TRUE,TRUE,1,0,1,0
FL-23,0,1,0.0981,0.1562,0.1225,0.0778,1,TRUE,TRUE,1,0,1,0
FL-24,0,1,0.3408,0.424,0.3322,N/A,0.98,TRUE,TRUE,1,0,0,0
FL-25,1,0,-0.0679,-0.0941,-0.0203,N/A,1.2,TRUE,TRUE,0,1,0,0
FL-26,1,0,0.0383,0.0149,0.0727,-0.0683,1.2,TRUE,TRUE,1,0,0,1
FL-27,0,0,0.0141,N/A,0.0895,-0.0546,1.09,TRUE,TRUE,0,0,0,1
GA-01,1,0,-0.0849,-0.0796,-0.0907,N/A,0.87,TRUE,TRUE,0,1,0,0
GA-02,0,1,0.0699,0.121,0.0484,0.1063,0.89,TRUE,TRUE,1,0,1,0
GA-03,1,0,-0.186,N/A,-0.1733,-0.1887,0.87,TRUE,TRUE,0,0,0,0
GA-04,0,1,0.2223,N/A,0.2612,0.2513,0.85,TRUE,TRUE,0,0,1,0
GA-05,0,1,0.3206,N/A,0.3661,0.3383,0.94,FALSE,TRUE,0,0,1,0
GA-06,1,0,-0.1382,-0.1309,-0.019,-0.1227,1.05,TRUE,TRUE,0,1,0,1
GA-07,1,0,-0.1308,-0.1244,-0.0439,-0.1097,0.85,TRUE,TRUE,0,0,0,1
GA-08,1,0,-0.1412,N/A,-0.159,-0.1817,0.89,TRUE,FALSE,0,0,0,1
GA-09,1,0,-0.3117,-0.2772,-0.3123,N/A,0.9,TRUE,TRUE,0,1,0,0
GA-10,1,0,-0.1522,-0.1357,-0.1424,N/A,0.81,TRUE,TRUE,0,0,0,0
GA-11,1,0,-0.1995,N/A,-0.1418,-0.1797,0.99,TRUE,TRUE,0,0,0,1
GA-12,1,0,-0.0792,-0.018,-0.0941,-0.1217,1.04,TRUE,TRUE,1,0,0,1
GA-13,0,1,0.1779,N/A,0.2164,N/A,0.81,TRUE,TRUE,0,0,0,0
GA-14,1,0,-0.2628,N/A,-0.2835,N/A,0.9,TRUE,TRUE,0,0,0,0
HI-01,0,0,0.1874,0.0488,0.1663,0.2544,1.05,TRUE,TRUE,0,0,0,0
HI-02,0,1,0.2048,0.3385,0.1592,0.3063,1.09,TRUE,TRUE,1,0,1,0
ID-01,0,0,-0.188,-0.1206,-0.226,-0.1874,1.12,TRUE,TRUE,0,1,0,1
ID-02,1,0,-0.1795,-0.0845,-0.1576,-0.1871,1.11,TRUE,TRUE,0,1,0,1
IL-01,0,1,0.2763,0.2605,0.2674,0.2353,1.06,TRUE,TRUE,1,0,1,0
IL-02,0,1,0.2936,0.3149,0.2921,0.2923,0.83,TRUE,TRUE,1,0,1,0
IL-03,0,1,0.0481,0.1755,0.0693,N/A,0.96,TRUE,TRUE,1,0,0,0
IL-04,0,1,0.3062,0.3105,0.35,N/A,1,TRUE,TRUE,1,0,0,0
IL-05,0,1,0.1552,0.2032,0.2354,0.206,1.01,TRUE,TRUE,1,0,1,0
IL-06,1,0,-0.0605,-0.1415,0.0262,-0.0977,1.05,TRUE,TRUE,0,1,0,1
IL-07,0,1,0.3612,0.3805,0.3935,0.3363,1.02,TRUE,TRUE,1,0,1,0
IL-08,0,1,0.0662,0.0865,0.1036,0.0773,0.72,TRUE,TRUE,1,0,0,0
IL-09,0,1,0.1436,0.1905,0.2271,0.1593,1.22,TRUE,TRUE,1,0,1,0
IL-10,0,1,0.0662,0.0165,0.1441,0.0203,0.95,TRUE,TRUE,1,0,0,1
IL-11,0,1,0.0678,0.0645,0.1135,0.0993,1.08,TRUE,TRUE,1,0,1,0
IL-12,1,0,-0.0115,-0.0266,-0.0888,-0.0833,1.11,TRUE,TRUE,1,0,0,1
